Web Search interest: david bowie
Worldwide; 2004 - present

Interest over time
Week,david bowie
2004-01-04 - 2004-01-10,41
2004-01-11 - 2004-01-17,42
2004-01-18 - 2004-01-24,40
2004-01-25 - 2004-01-31,46
2004-02-01 - 2004-02-07,46
2004-02-08 - 2004-02-14,41
2004-02-15 - 2004-02-21,51
2004-02-22 - 2004-02-28,41
2004-02-29 - 2004-03-06,42
2004-03-07 - 2004-03-13,29
2004-03-14 - 2004-03-20,38
2004-03-21 - 2004-03-27,34
2004-03-28 - 2004-04-03,46
2004-04-04 - 2004-04-10,34
2004-04-11 - 2004-04-17,45
2004-04-18 - 2004-04-24,42
2004-04-25 - 2004-05-01,54
2004-05-02 - 2004-05-08,42
2004-05-09 - 2004-05-15,37
2004-05-16 - 2004-05-22,38
2004-05-23 - 2004-05-29,28
2004-05-30 - 2004-06-05,39
2004-06-06 - 2004-06-12,38
2004-06-13 - 2004-06-19,34
2004-06-20 - 2004-06-26,52
2004-06-27 - 2004-07-03,53
2004-07-04 - 2004-07-10,50
2004-07-11 - 2004-07-17,46
2004-07-18 - 2004-07-24,32
2004-07-25 - 2004-07-31,30
2004-08-01 - 2004-08-07,26
2004-08-08 - 2004-08-14,25
2004-08-15 - 2004-08-21,24
2004-08-22 - 2004-08-28,25
2004-08-29 - 2004-09-04,25
2004-09-05 - 2004-09-11,26
2004-09-12 - 2004-09-18,28
2004-09-19 - 2004-09-25,26
2004-09-26 - 2004-10-02,23
2004-10-03 - 2004-10-09,24
2004-10-10 - 2004-10-16,27
2004-10-17 - 2004-10-23,27
2004-10-24 - 2004-10-30,32
2004-10-31 - 2004-11-06,23
2004-11-07 - 2004-11-13,30
2004-11-14 - 2004-11-20,26
2004-11-21 - 2004-11-27,23
2004-11-28 - 2004-12-04,28
2004-12-05 - 2004-12-11,29
2004-12-12 - 2004-12-18,29
2004-12-19 - 2004-12-25,29
2004-12-26 - 2005-01-01,33
2005-01-02 - 2005-01-08,31
2005-01-09 - 2005-01-15,29
2005-01-16 - 2005-01-22,30
2005-01-23 - 2005-01-29,29
2005-01-30 - 2005-02-05,25
2005-02-06 - 2005-02-12,28
2005-02-13 - 2005-02-19,26
2005-02-20 - 2005-02-26,24
2005-02-27 - 2005-03-05,25
2005-03-06 - 2005-03-12,25
2005-03-13 - 2005-03-19,22
2005-03-20 - 2005-03-26,25
2005-03-27 - 2005-04-02,26
2005-04-03 - 2005-04-09,25
2005-04-10 - 2005-04-16,25
2005-04-17 - 2005-04-23,24
2005-04-24 - 2005-04-30,25
2005-05-01 - 2005-05-07,24
2005-05-08 - 2005-05-14,26
2005-05-15 - 2005-05-21,27
2005-05-22 - 2005-05-28,24
2005-05-29 - 2005-06-04,26
2005-06-05 - 2005-06-11,26
2005-06-12 - 2005-06-18,24
2005-06-19 - 2005-06-25,24
2005-06-26 - 2005-07-02,23
2005-07-03 - 2005-07-09,25
2005-07-10 - 2005-07-16,25
2005-07-17 - 2005-07-23,22
2005-07-24 - 2005-07-30,22
2005-07-31 - 2005-08-06,26
2005-08-07 - 2005-08-13,28
2005-08-14 - 2005-08-20,27
2005-08-21 - 2005-08-27,26
2005-08-28 - 2005-09-03,21
2005-09-04 - 2005-09-10,33
2005-09-11 - 2005-09-17,26
2005-09-18 - 2005-09-24,26
2005-09-25 - 2005-10-01,24
2005-10-02 - 2005-10-08,22
2005-10-09 - 2005-10-15,26
2005-10-16 - 2005-10-22,26
2005-10-23 - 2005-10-29,26
2005-10-30 - 2005-11-05,24
2005-11-06 - 2005-11-12,25
2005-11-13 - 2005-11-19,26
2005-11-20 - 2005-11-26,28
2005-11-27 - 2005-12-03,27
2005-12-04 - 2005-12-10,29
2005-12-11 - 2005-12-17,31
2005-12-18 - 2005-12-24,31
2005-12-25 - 2005-12-31,28
2006-01-01 - 2006-01-07,26
2006-01-08 - 2006-01-14,29
2006-01-15 - 2006-01-21,23
2006-01-22 - 2006-01-28,24
2006-01-29 - 2006-02-04,23
2006-02-05 - 2006-02-11,25
2006-02-12 - 2006-02-18,24
2006-02-19 - 2006-02-25,25
